month,day,player,year_born,years_played,games_played,field_goals,field_goal_attempts,3point_field_goals,3point_field_goal_attempts,free_throws,free_throw_attempts,offensive_rebounds,steals,blocks,turnovers,personal_fouls,win_shares,field_goal_percent,3point_field_goal_percent,free_throw_percent,minutes_played_per_game,points_per_game,total_rebounds_per_game,assists_per_game,points,minutes_played,total_rebounds,assists,age,city,region,position,college,team_recent,dunkattempts,championship,sex,status,height_default,height_cm,weight_kg,weight_lb
February,24,Corey Benjamin,1978,4,153,317,812,57,197,144,221,84,71,48,164,316,-0.9,0.39,0.289,0.652,14.3,5.5,1.7,0.9,835,2191,259,143,47, Compton, California,Shooting Guard,Oregon State,Chicago Bulls,56,no,male,Alive,6-6,198,90,200
February,24,Corey Benjamin,1978,4,153,317,812,57,197,144,221,84,71,48,164,316,-0.9,0.39,0.289,0.652,14.3,5.5,1.7,0.9,835,2191,259,143,47, Compton, California,Point Guard,Oregon State,Chicago Bulls,56,no,male,Alive,6-6,198,90,200
February,24,Jim Brogan,1958,2,121,256,577,12,45,95,127,94,75,22,126,202,1.2,0.444,0.267,0.748,12.3,5.1,1.5,1.8,619,1493,182,222,67, Ardmore, Pennsylvania,Shooting Guard,West Virginia Wesleyan College,San Diego Clippers,,yes,male,Alive,6-4,193,83,185
February,24,Tom Burleson,1952,7,446,1568,3526,0,3,1054,1452,918,312,591,236,1317,22.9,0.445,,0.726,21.1,9.4,6.3,1.3,4190,9425,2794,601,73, Crossnore, North Carolina,Center,NC State,Kansas City Kings,,no,male,Alive,7-2,218,102,225
February,24,Eddie Johnson,1955,10,675,4015,8436,104,319,2029,2564,470,761,89,1717,1706,41,0.476,,0.791,29.6,15.1,2.3,5.1,10163,19975,1522,3436,65, Ocala, Florida,Shooting Guard,Auburn,Atlanta Hawks,,no,male,Dead,6-2,188,81,180
February,24,Kosta Koufos,1989,11,686,1750,3277,0,4,413,710,1198,291,506,479,1398,28.3,0.534,0,0.582,16.4,5.7,5,0.5,3913,11271,3452,359,36, Canton, Ohio,Center,Ohio State,Sacramento Kings,235,no,male,Alive,7-0,213,111,245
February,24,Al Tucker,1943,5,352,1439,3157,33,89,630,866,110,,,154,812,11.1,0.456,,0.727,21.2,10.1,4.9,1,3541,7478,1740,342,58, Dayton, Ohio,Power Forward,Oklahoma Baptist University,Baltimore Bullets,,no,male,Dead,6-8,203,86,190
February,24,Rennia Davis,1999,1,8,5,13,0,2,0,0,3,2,0,4,3,-0.1,0.385,0,,5.4,1.3,1,0.1,10,43,8,1,26, Jacksonville, Florida,Guard-Forward,Tennessee,Indiana Fever,0,no,female,Alive,6-1,185,77,170
February,24,Angel Goodrich,1990,3,82,101,237,12,44,21,39,21,60,2,99,66,0,0.426,0.273,0.538,14.9,2.9,1.3,2.2,235,1224,106,184,35, Glendale, Arizona,Guard,Kansas,Seattle Storm,0,no,female,Alive,5-4,163,57,127
February,24,Stephanie Mavunga,1995,3,59,58,120,0,7,33,43,56,15,15,32,85,1,0.483,0,0.767,8.4,2.5,2.5,0.2,149,493,145,13,30, Harare, Zimbabwe,Forward,Ohio State,Chicago Sky,0,no,female,Alive,6-3,190,92,205
February,24,Ashley Walker,1987,4,25,13,59,3,20,9,11,17,7,5,15,31,-0.4,0.22,0.15,0.818,7,1.5,1.7,0.4,38,176,42,9,38, Stockton, California,Forward-Center,California,Los Angeles Sparks,0,no,female,Alive,6-1,185,90,200
February,25,James Blackwell,1968,1,13,8,13,0,0,2,3,2,4,0,5,8,0.2,0.615,,0.667,6.2,1.4,0.8,0.8,18,80,11,11,, Mount Kisco, New York,Point Guard,Dartmouth College,Boston Celtics,,no,male,Alive,6-0,183,86,190
February,25,Nelson Bobb,1924,4,227,361,1030,,,330,539,,,,,523,6,0.35,,0.612,21.2,4.6,2.4,2.1,1052,2478,405,488,79, Philadelphia, Pennsylvania,Point Guard,Temple,Philadelphia Warriors,,yes,male,Dead,6-0,183,77,170
February,25,Antonio Burks,1980,2,81,79,204,4,17,24,42,5,33,1,48,70,0.1,0.387,0.235,0.571,9.7,2.3,0.6,1.3,186,789,49,104,, Memphis, Tennessee,Point Guard,Memphis,Memphis Grizzlies,0,no,male,Alive,6-1,185,90,200
February,25,Vernon Carey Jr.,2001,3,37,27,57,1,7,17,26,17,5,8,10,22,0.2,0.474,0.143,0.654,5.1,1.9,1.4,0.1,72,187,50,5,, Miami, Florida,Center,Duke,Charlotte Hornets,3,yes,male,Alive,6-9,206,122,270
February,25,Gary Forbes,1985,2,111,236,544,48,141,125,178,55,47,10,100,133,1.7,0.434,0.34,0.702,13.5,5.8,2,0.9,645,1504,218,103,, Colon, Panama,Shooting Guard,,Toronto Raptors,10,yes,male,Alive,6-7,201,99,220
February,25,Gary Forbes,1985,2,111,236,544,48,141,125,178,55,47,10,100,133,1.7,0.434,0.34,0.702,13.5,5.8,2,0.9,645,1504,218,103,, Colon, Panama,Small Forward,,Toronto Raptors,10,yes,male,Alive,6-7,201,99,220
February,25,Jimmer Fredette,1989,6,241,524,1282,193,519,197,224,53,94,11,223,222,2.2,0.409,0.372,0.879,13.3,6,1,1.4,1438,3213,243,331,, Glens Falls, New York,Shooting Guard,BYU,Sacramento Kings,0,no,male,Alive,6-2,188,88,195
February,25,Jimmer Fredette,1989,6,241,524,1282,193,519,197,224,53,94,11,223,222,2.2,0.409,0.372,0.879,13.3,6,1,1.4,1438,3213,243,331,, Glens Falls, New York,Point Guard,BYU,Sacramento Kings,0,no,male,Alive,6-2,188,88,195
February,25,Matt Guokas,1944,10,735,1792,3665,,,701,964,77,117,41,,1485,26.7,0.489,,0.727,22.6,5.8,2,3,4285,16603,1446,2174,, Philadelphia, Pennsylvania,Shooting Guard,Saint Joseph's,Philadelphia 76ers,,yes,male,Alive,6-5,196,79,175
February,25,Matt Guokas,1944,10,735,1792,3665,,,701,964,77,117,41,,1485,26.7,0.489,,0.727,22.6,5.8,2,3,4285,16603,1446,2174,, Philadelphia, Pennsylvania,Small Forward,Saint Joseph's,Philadelphia 76ers,,yes,male,Alive,6-5,196,79,175
February,25,Mario Hezonja,1995,5,330,854,2047,266,833,310,382,147,243,80,371,549,3.2,0.417,0.319,0.812,18.5,6.9,3.1,1.3,2284,6107,1026,415,, Dubrovnik, Croatia,Small Forward,,Orlando Magic,89,no,male,Alive,6-8,203,99,220
February,25,Mario Hezonja,1995,5,330,854,2047,266,833,310,382,147,243,80,371,549,3.2,0.417,0.319,0.812,18.5,6.9,3.1,1.3,2284,6107,1026,415,, Dubrovnik, Croatia,Power Forward,,Orlando Magic,89,no,male,Alive,6-8,203,99,220
February,25,Donald Hodge,1969,5,249,462,1057,4,14,254,357,306,84,95,236,531,1.8,0.437,0.286,0.711,14.1,4.7,3.2,0.8,1182,3501,809,191,, Washington, District of Columbia,Center,Temple,Dallas Mavericks,,no,male,Alive,7-0,213,104,230
February,25,Donald Hodge,1969,5,249,462,1057,4,14,254,357,306,84,95,236,531,1.8,0.437,0.286,0.711,14.1,4.7,3.2,0.8,1182,3501,809,191,, Washington, District of Columbia,Power Forward,Temple,Dallas Mavericks,,no,male,Alive,7-0,213,104,230
February,25,Thon Maker,1997,5,263,425,976,130,397,236,347,218,96,173,142,460,6.6,0.435,0.327,0.68,13.8,4.6,2.8,0.6,1216,3624,726,161,, Wau, South Sudan,Center,,Milwaukee Bucks,102,no,male,Alive,7-0,213,100,221
February,25,Thon Maker,1997,5,263,425,976,130,397,236,347,218,96,173,142,460,6.6,0.435,0.327,0.68,13.8,4.6,2.8,0.6,1216,3624,726,161,, Wau, South Sudan,Power Forward,,Milwaukee Bucks,102,no,male,Alive,7-0,213,100,221
February,25,E'Twaun Moore,1989,10,598,1927,4236,556,1432,333,449,282,395,131,534,946,14.8,0.455,0.388,0.742,21,7.9,2,1.8,4743,12564,1208,1055,, East Chicago, Indiana,Shooting Guard,Purdue,New Orleans Pelicans,39,no,male,Alive,6-3,190,86,191
February,25,E'Twaun Moore,1989,10,598,1927,4236,556,1432,333,449,282,395,131,534,946,14.8,0.455,0.388,0.742,21,7.9,2,1.8,4743,12564,1208,1055,, East Chicago, Indiana,Point Guard,Purdue,New Orleans Pelicans,39,no,male,Alive,6-3,190,86,191
February,25,Joakim Noah,1985,13,672,2248,4574,0,16,1385,1979,2141,534,874,1133,1874,61.9,0.491,0,0.7,27.7,8.8,9,2.8,5881,18646,6058,1907,, New York, New York,Center,Florida,Chicago Bulls,550,no,male,Alive,6-11,211,104,230
February,25,Brandin Podziemski,2003,2,105,368,833,123,343,72,109,150,91,21,119,170,5.4,0.442,0.359,0.661,25.8,8.9,5.4,3.5,1137,3116,644,429,, Greenfield, Wisconsin,Shooting Guard,,Golden State Warriors,4,no,male,Alive,6-5,196,92,205
February,25,Cincy Powell,1942,8,599,3823,8098,31,113,2069,2855,1245,73,40,1480,1978,41.1,0.472,0.274,0.725,31.1,16.3,7.6,2.2,9746,18636,4582,1330,80, Baton Rouge, Louisiana,Small Forward,University of Portland,Dallas Chaparrals,,no,male,Dead,6-7,201,99,220
February,25,Cincy Powell,1942,8,599,3823,8098,31,113,2069,2855,1245,73,40,1480,1978,41.1,0.472,0.274,0.725,31.1,16.3,7.6,2.2,9746,18636,4582,1330,80, Baton Rouge, Louisiana,Power Forward,University of Portland,Dallas Chaparrals,,no,male,Dead,6-7,201,99,220
February,25,Trevelin Queen,1997,4,50,75,199,30,108,27,32,34,36,19,39,56,0.6,0.377,0.278,0.844,12.7,4.1,1.7,1.2,221,682,95,61,, Baltimore, Maryland,Shooting Guard,,Orlando Magic,14,no,male,Alive,6-6,198,86,190
February,25,Kurt Rambis,1958,14,880,1802,3376,0,14,999,1450,1640,761,456,1033,2036,38.3,0.534,0,0.689,18.5,5.2,5.6,1.1,4603,16299,4961,931,, Terre Haute, Indiana,Power Forward,Santa Clara,Los Angeles Lakers,,yes,male,Alive,6-8,203,96,213
February,25,Milt Schoon,1922,2,103,193,565,,,230,380,,,,,265,4.4,0.342,,0.605,,6,,0.9,6,,,0.9,92, Gary, Indiana,Center,Valparaiso,Sheboygan Red Skins,,no,male,Dead,6-7,201,104,230
February,25,Gene Vance,1923,5,175,548,1739,,,349,508,,,,,671,10.3,0.315,,0.687,16.9,8.3,3,2.3,1445,118,109,403,88, Peru, Illinois,Guard,Illinois,Chicago Stags,,no,male,Dead,6-3,190,88,195
February,25,Gene Vance,1923,5,175,548,1739,,,349,508,,,,,671,10.3,0.315,,0.687,16.9,8.3,3,2.3,1445,118,109,403,88, Peru, Illinois,Forward,Illinois,Chicago Stags,,no,male,Dead,6-3,190,88,195
February,25,Fred VanVleet,1994,9,530,2688,6666,1335,3584,1259,1457,236,732,247,887,1165,45.1,0.403,0.372,0.864,31.2,15,3.4,5.7,8018,16678,1838,3049,, Rockford, Illinois,Point Guard,Wichita State,Houston Rockets,0,yes,male,Alive,6-0,183,89,197
February,25,Fred VanVleet,1994,9,530,2688,6666,1335,3584,1259,1457,236,732,247,887,1165,45.1,0.403,0.372,0.864,31.2,15,3.4,5.7,8018,16678,1838,3049,, Rockford, Illinois,Shooting Guard,Wichita State,Houston Rockets,0,yes,male,Alive,6-0,183,89,197
February,25,Samaki Walker,1976,10,445,936,2026,1,9,503,798,627,134,316,403,895,14.2,0.462,0.111,0.63,17.1,5.3,4.7,0.6,2376,7612,2089,252,, Columbus, Ohio,Power Forward,Louisville,Dallas Mavericks,192,yes,male,Alive,6-9,206,108,240
February,25,Samaki Walker,1976,10,445,936,2026,1,9,503,798,627,134,316,403,895,14.2,0.462,0.111,0.63,17.1,5.3,4.7,0.6,2376,7612,2089,252,, Columbus, Ohio,Center,Louisville,Dallas Mavericks,192,yes,male,Alive,6-9,206,108,240
February,25,Frank Williams,1980,3,86,92,261,24,80,45,54,13,34,11,83,87,0.1,0.352,0.3,0.833,11.1,2.9,0.9,1.9,253,952,77,166,, Peoria, Illinois,Point Guard,Illinois,New York Knicks,1,no,male,Alive,6-3,190,96,212
February,25,Frank Williams,1980,3,86,92,261,24,80,45,54,13,34,11,83,87,0.1,0.352,0.3,0.833,11.1,2.9,0.9,1.9,253,952,77,166,, Peoria, Illinois,Shooting Guard,Illinois,New York Knicks,1,no,male,Alive,6-3,190,96,212
February,25,Nikita Wilson,1964,1,15,7,23,0,0,5,6,2,0,0,5,7,-0.1,0.304,,0.833,3.6,1.3,0.7,0.2,19,54,11,3,, Pineville, Louisiana,Small Forward,LSU,Portland Trail Blazers,,no,male,Alive,6-8,203,90,200
February,25,Nadia Colhado,1989,3,27,25,49,0,0,2,7,6,6,11,11,34,0.2,0.51,,0.286,6.4,1.9,1.2,0.1,52,172,33,2,, Marialva, Brazil,Center,,Indiana Fever,0,no,female,Alive,6-4,193,88,196
February,25,Monique Currie,1983,13,411,1348,3365,284,841,1273,1546,399,379,114,724,1137,29.3,0.401,0.338,0.823,23.7,10.3,4.1,1.8,4253,9738,1666,740,, Washington, District of Columbia,Forward,Duke,San Antonio Stars,0,no,female,Alive,6-0,183,79,175
February,25,Jenny Mowe,1978,3,11,3,6,0,0,1,2,2,0,2,4,11,-0.1,0.5,,0.5,4.9,0.6,0.5,0,7,54,5,0,, Mission Viejo, California,Center,Oregon,Los Angeles Sparks,0,no,female,Alive,6-5,196,,
February,26,Chuck Aleksinas,1959,1,74,161,337,0,1,55,75,87,15,15,72,171,0.4,0.478,0,0.733,15.1,5.1,3.6,0.5,377,1114,270,36,65, Litchfield, Connecticut,Center,,Golden State Warriors,,no,male,Alive,6-11,211,117,260
February,26,Rolando Blackman,1959,13,980,6887,13969,229,667,3620,4309,1047,715,274,1829,1634,75.6,0.493,0.343,0.84,32.7,18,3.3,3,17623,32087,3278,2981,65, Panama City, Panama,Shooting Guard,Kansas State,Dallas Mavericks,,no,male,Alive,6-6,198,86,190
February,26,Steve Blake,1980,13,870,2061,5145,1037,2709,503,646,250,587,63,1222,1287,29.1,0.401,0.383,0.779,23.9,6.5,2.1,4,5662,20823,1816,3446,44, Hollywood, Florida,Point Guard,Maryland,Portland Trail Blazers,2,no,male,Alive,6-3,190,78,172
February,26,Sasha Danilovic,1970,2,75,331,754,119,314,176,223,41,69,12,153,209,4.2,0.439,0.379,0.789,31.1,12.8,2.4,2,957,2331,182,149,54, Sarajevo, Bosnia and Herzegovina,Shooting Guard,,Miami Heat,3,no,male,Alive,6-5,196,90,200
February,26,Joe Holup,1934,3,192,460,1345,,,427,547,,,,,515,4.2,0.342,,0.781,18.4,7,4.4,1,1347,3526,852,193,63, Swoyersville, Pennsylvania,Small Forward,George Washington,Detroit Pistons,,no,male,Dead,6-6,198,97,215
February,26,David Johnson,2001,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,2,0,0,23, Louisville, Kentucky,Point Guard,Louisville,Toronto Raptors,,no,male,Alive,6-5,196,95,210
February,26,David Johnson,2001,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,2,0,0,23, Louisville, Kentucky,Shooting Guard,Louisville,Toronto Raptors,,no,male,Alive,6-5,196,95,210
February,26,Clint McDaniel,1972,1,12,8,23,2,6,12,16,3,5,0,2,10,0.2,0.348,0.333,0.75,5.9,2.5,0.8,0.6,30,71,10,7,52, Tulsa, Oklahoma,Shooting Guard,Arkansas,Sacramento Kings,,no,male,Alive,6-4,193,81,180
February,26,Chuck Mrazovich,1924,1,25,28,80,,,29,48,,,,,52,0.4,0.35,,0.604,,3.4,1.6,0.5,3.4,,1.6,0.5,96, Ambridge, Pennsylvania,Forward,Eastern Kentucky University,Indianapolis Olympians,,no,male,Dead,6-5,196,83,185
February,26,Craig Porter Jr.,2000,2,76,141,270,19,47,47,64,24,26,23,56,50,2,0.522,0.404,0.734,11.1,4.6,1.7,1.9,403,991,152,169,24, Terre Haute, Indiana,Point Guard,,Cleveland Cavaliers,14,no,male,Alive,6-2,188,84,186
February,26,Lavor Postell,1978,3,61,59,176,11,44,66,83,11,12,2,35,28,-0.2,0.335,0.25,0.795,7.3,3.2,0.7,0.2,195,446,45,13,46, Albany, Georgia,Shooting Guard,St. John's,New York Knicks,5,no,male,Alive,6-5,196,97,215
February,26,Tex Ritter,1924,3,151,262,753,,,265,393,,,,,224,5.7,0.348,,0.674,,5.2,1.9,1,5.2,,1.9,1,80, Richmond, Kentucky,Guard,Eastern Kentucky University,New York Knicks,,no,male,Dead,6-2,188,83,185
February,26,Tex Ritter,1924,3,151,262,753,,,265,393,,,,,224,5.7,0.348,,0.674,,5.2,1.9,1,5.2,,1.9,1,80, Richmond, Kentucky,Forward,Eastern Kentucky University,New York Knicks,,no,male,Dead,6-2,188,83,185
February,26,Bingo Smith,1946,11,865,4776,10642,23,81,1307,1637,653,431,167,237,2059,33.3,0.449,,0.798,25.9,12.6,4.2,2,10882,22407,3630,1734,77, Memphis, Tennessee,Shooting Guard,Tulsa,Cleveland Cavaliers,,no,male,Dead,6-5,196,88,195
February,26,Bingo Smith,1946,11,865,4776,10642,23,81,1307,1637,653,431,167,237,2059,33.3,0.449,,0.798,25.9,12.6,4.2,2,10882,22407,3630,1734,77, Memphis, Tennessee,Small Forward,Tulsa,Cleveland Cavaliers,,no,male,Dead,6-5,196,88,195
February,26,Jim Spruill,1923,1,1,1,3,,,0,0,,,,,3,0,0.333,,,,2,,0,2,,,0,82, Dublin, Texas,Guard,Rice University,,,no,male,Dead,6-2,188,102,225
February,26,Tim Thomas,1977,13,824,3458,7922,962,2609,1576,2079,807,609,300,1217,2261,35.2,0.437,0.369,0.758,25.9,11.5,4.1,1.5,9454,21336,3379,1272,47, Paterson, New Jersey,Small Forward,Villanova,Milwaukee Bucks,428,no,male,Alive,6-10,208,104,230
February,26,Tim Thomas,1977,13,824,3458,7922,962,2609,1576,2079,807,609,300,1217,2261,35.2,0.437,0.369,0.758,25.9,11.5,4.1,1.5,9454,21336,3379,1272,47, Paterson, New Jersey,Power Forward,Villanova,Milwaukee Bucks,428,no,male,Alive,6-10,208,104,230
February,26,Keaton Wallace,1999,1,17,39,89,17,44,7,7,3,17,6,18,18,0.3,0.438,0.386,1,16.8,6,1.6,2.1,138,416,35,55,25, Richardson, Texas,Point Guard,Texas-San Antonio,Atlanta Hawks,4,no,male,Alive,6-3,190,88,195
February,26,Tricia Bader Binford,1973,5,100,47,163,25,88,16,22,8,47,3,66,80,-0.5,0.288,0.284,0.727,7.6,1.4,0.5,0.8,135,759,53,79,51, Boise, Idaho,Guard,Boise State,Cleveland Rockers,0,no,female,Alive,5-4,163,56,125
February,26,Nyara Sabally,2000,2,59,75,146,2,11,52,72,53,27,26,31,79,2.7,0.514,0.182,0.722,10.4,3.5,3,0.4,204,612,175,22,24, Bandon, Oregon,Center,Oregon,New York Liberty,0,no,female,Alive,6-5,196,92,204
February,27,James Augustine,1984,2,27,19,37,0,0,4,8,17,5,2,6,20,0.3,0.514,,0.5,5.8,1.6,1.2,0.1,42,156,33,4,40, Midlothian, Illinois,Power Forward,Illinois,Orlando Magic,,no,male,Alive,6-10,208,106,235
February,27,Johnny Davis,2002,3,108,159,397,38,137,35,62,36,41,24,35,122,-0.3,0.401,0.277,0.565,11.6,3.6,1.6,0.6,395,1278,175,71,22, La Crosse, Wisconsin,Shooting Guard,Wisconsin,Washington Wizards,15,no,male,Alive,6-5,196,88,196
February,27,Smokey Gaines,1940,1,3,4,16,1,1,1,2,,,,0,4,-0.1,0.25,1,0.5,12,3.3,3.3,0,10,36,10,0,80,,,Shooting Guard,LeMoyne-Owen College,Kentucky Colonels,,no,male,Dead,6-1,185,77,170
February,27,Daniel Gibson,1986,7,397,1065,2646,578,1419,407,522,142,243,86,373,811,16,0.402,0.407,0.78,23.5,7.8,2,2,3115,9316,792,775,38, Houston, Texas,Point Guard,Texas,Cleveland Cavaliers,2,no,male,Alive,6-2,188,86,190
February,27,Daniel Gibson,1986,7,397,1065,2646,578,1419,407,522,142,243,86,373,811,16,0.402,0.407,0.78,23.5,7.8,2,2,3115,9316,792,775,38, Houston, Texas,Shooting Guard,Texas,Cleveland Cavaliers,2,no,male,Alive,6-2,188,86,190
February,27,Walt Gilmore,1947,1,27,23,54,,,12,26,,,,,49,0.2,0.426,,0.462,9.7,2.1,2.7,0.4,58,261,73,12,77,,,Power Forward,Fort Valley State University,Portland Trail Blazers,,no,male,Alive,6-6,198,102,225
February,27,Chick Halbert,1919,5,303,910,2900,,,851,1344,,,,,814,21.6,0.314,,0.633,,8.8,7.9,1.4,8.8,,7.9,1.4,94, Albany, Texas,Center,West Texas A&M University,Washington Capitols,,no,male,Dead,6-9,206,102,225
February,27,Devin Harris,1983,15,985,3486,8072,832,2558,2793,3507,290,998,194,1682,2171,54.9,0.432,0.325,0.796,24.3,10.8,2.2,3.9,10597,23963,2151,3869,41, Milwaukee, Wisconsin,Point Guard,Wisconsin,Dallas Mavericks,43,no,male,Alive,6-3,190,83,185
February,27,Devin Harris,1983,15,985,3486,8072,832,2558,2793,3507,290,998,194,1682,2171,54.9,0.432,0.325,0.796,24.3,10.8,2.2,3.9,10597,23963,2151,3869,41, Milwaukee, Wisconsin,Shooting Guard,Wisconsin,Dallas Mavericks,43,no,male,Alive,6-3,190,83,185
February,27,Dwight Jones,1952,10,766,2459,5216,1,2,1311,1772,1456,429,397,771,2077,27.6,0.471,,0.74,21.5,8.1,5.9,1.2,6230,16452,4513,911,64, Houston, Texas,Power Forward,Houston,Chicago Bulls,,no,male,Dead,6-10,208,95,210
February,27,Dwight Jones,1952,10,766,2459,5216,1,2,1311,1772,1456,429,397,771,2077,27.6,0.471,,0.74,21.5,8.1,5.9,1.2,6230,16452,4513,911,64, Houston, Texas,Center,Houston,Chicago Bulls,,no,male,Dead,6-10,208,95,210
February,27,Wil Jones,1947,9,725,3541,7720,12,84,1388,1893,2118,469,329,1247,2574,37.2,0.459,,0.733,30.2,11.7,7.7,2,8482,21931,5560,1446,77, McGehee, Arkansas,Power Forward,Albany State University,Kentucky Colonels,,yes,male,Alive,6-8,203,92,205
February,27,Wil Jones,1947,9,725,3541,7720,12,84,1388,1893,2118,469,329,1247,2574,37.2,0.459,,0.733,30.2,11.7,7.7,2,8482,21931,5560,1446,77, McGehee, Arkansas,Small Forward,Albany State University,Kentucky Colonels,,yes,male,Alive,6-8,203,92,205
February,27,Rod Knowles,1946,1,9,4,14,0,0,1,3,0,,,0,11,-0.1,0.286,,0.333,4.8,1,1,0,9,43,9,0,62, Washington, North Carolina,Center,Davidson,New York Nets,,no,male,Dead,6-9,206,97,215
February,27,Meyers Leonard,1992,10,456,972,2016,334,856,267,329,333,85,127,315,981,15.8,0.482,0.39,0.812,15.9,5.6,3.9,0.9,2545,7272,1771,396,32, Robinson, Illinois,Center,Illinois,Portland Trail Blazers,196,no,male,Alive,7-0,213,117,260
February,27,Meyers Leonard,1992,10,456,972,2016,334,856,267,329,333,85,127,315,981,15.8,0.482,0.39,0.812,15.9,5.6,3.9,0.9,2545,7272,1771,396,32, Robinson, Illinois,Power Forward,Illinois,Portland Trail Blazers,196,no,male,Alive,7-0,213,117,260
February,27,David Noel,1984,1,68,65,177,17,53,37,43,42,25,9,40,77,0.4,0.367,0.321,0.86,11.6,2.7,1.8,1,184,792,123,65,40, Durham, North Carolina,Power Forward,UNC,Milwaukee Bucks,4,no,male,Alive,6-6,198,104,230
February,27,Terence Stansbury,1961,3,192,468,1055,24,107,240,308,76,119,20,248,483,2.4,0.444,0.224,0.779,15.5,6.3,1.4,2,1200,2984,277,390,63, Wilmington, Delaware,Shooting Guard,Temple,Indiana Pacers,,no,male,Alive,6-5,196,77,170
February,27,Loy Vaught,1968,11,689,3061,6074,21,86,841,1172,1482,510,228,822,1624,35.8,0.504,0.244,0.718,24.7,10.1,7.1,0.9,6984,16993,4881,652,56, Grand Rapids, Michigan,Power Forward,Michigan,Los Angeles Clippers,58,no,male,Alive,6-9,206,104,230
February,27,Brandon Williams,1975,3,18,17,57,3,10,4,8,7,8,3,12,22,-0.4,0.298,0.3,0.5,9.1,2.3,1,0.2,41,163,18,3,49, Collinston, Louisiana,Shooting Guard,Davidson,Atlanta Hawks,2,yes,male,Alive,6-6,198,97,215
February,27,Brandon Williams,1975,3,18,17,57,3,10,4,8,7,8,3,12,22,-0.4,0.298,0.3,0.5,9.1,2.3,1,0.2,41,163,18,3,49, Collinston, Louisiana,Small Forward,Davidson,Atlanta Hawks,2,yes,male,Alive,6-6,198,97,215
February,27,James Worthy,1961,12,926,6878,13204,117,486,2447,3184,1561,1041,624,1859,1975,81.2,0.521,0.241,0.769,32.4,17.6,5.1,3,16320,30001,4708,2791,63, Gastonia, North Carolina,Small Forward,UNC,Los Angeles Lakers,,yes,male,Alive,6-9,206,102,225
February,27,James Worthy,1961,12,926,6878,13204,117,486,2447,3184,1561,1041,624,1859,1975,81.2,0.521,0.241,0.769,32.4,17.6,5.1,3,16320,30001,4708,2791,63, Gastonia, North Carolina,Power Forward,UNC,Los Angeles Lakers,,yes,male,Alive,6-9,206,102,225
February,27,Nicky Anosike,1986,5,139,389,938,1,6,465,641,316,270,133,234,402,12.5,0.415,0.167,0.725,26.8,8.9,6.6,1.7,1244,3725,922,238,38, Brooklyn, New York,Forward-Center,Tennessee,Los Angeles Sparks,0,no,female,Alive,6-3,190,95,210
February,28,Vincent Askew,1966,9,467,1215,2534,76,253,805,1068,400,304,106,503,972,22.1,0.479,0.3,0.754,20,7.1,2.5,2.2,3311,9361,1176,1017,58, Memphis, Tennessee,Shooting Guard,Memphis,Seattle SuperSonics,1,no,male,Alive,6-6,198,95,210
February,28,Ticky Burden,1953,3,134,710,1601,8,36,334,454,134,151,10,181,277,2.5,0.443,,0.736,20.9,13.1,2,1.4,1762,2804,268,194,62, Haines City, Florida,Shooting Guard,Utah,New York Knicks,,no,male,Dead,6-2,188,83,185
February,28,Alex Caruso,1994,8,389,923,2116,390,1043,389,518,236,519,197,466,808,18.2,0.436,0.374,0.751,22.5,6.7,2.9,2.8,2702,8960,1147,1140,30, College Station, Texas,Point Guard,Texas A&M,Oklahoma City Thunder,61,no,male,Alive,6-5,196,84,186
February,28,Alex Caruso,1994,8,389,923,2116,390,1043,389,518,236,519,197,466,808,18.2,0.436,0.374,0.751,22.5,6.7,2.9,2.8,2702,8960,1147,1140,30, College Station, Texas,Shooting Guard,Texas A&M,Oklahoma City Thunder,61,no,male,Alive,6-5,196,84,186
February,28,Adrian Dantley,1955,15,955,8169,15121,7,41,6832,8351,2207,944,150,2503,2550,134.2,0.54,,0.818,35.8,24.3,5.7,3,23177,34151,5455,2830,69, Washington, District of Columbia,Small Forward,Notre Dame,Utah Jazz,,no,male,Alive,6-5,196,94,208
February,28,Luka Doncic,1999,7,422,4114,8762,1276,3669,2585,3455,403,511,191,1673,960,54.2,0.47,0.348,0.748,34.9,28.6,8.7,8.3,12184,14874,3700,3524,25, Ljubljana, Slovenia,Point Guard,,Los Angeles Lakers,72,no,male,Alive,6-6,198,104,230
February,28,Luka Doncic,1999,7,422,4114,8762,1276,3669,2585,3455,403,511,191,1673,960,54.2,0.47,0.348,0.748,34.9,28.6,8.7,8.3,12184,14874,3700,3524,25, Ljubljana, Slovenia,Shooting Guard,,Los Angeles Lakers,72,no,male,Alive,6-6,198,104,230
February,28,Francisco Elson,1976,9,472,725,1517,3,16,273,390,497,228,255,355,1000,11.7,0.478,0.188,0.7,15.3,3.7,3.5,0.6,1726,7207,1638,260,48, Rotterdam, Netherlands,Center,California,Denver Nuggets,186,no,male,Alive,7-0,213,106,235
February,28,Duane Ferrell,1965,11,583,1420,2961,42,146,822,1096,552,302,105,509,902,15.7,0.48,0.288,0.75,15,6.4,1.9,0.9,3704,8734,1132,509,59, Baltimore, Maryland,Small Forward,Georgia Tech,Atlanta Hawks,8,no,male,Alive,6-7,201,94,209
