month,day,player,year_born,years_played,games_played,field_goals,field_goal_attempts,3point_field_goals,3point_field_goal_attempts,free_throws,free_throw_attempts,offensive_rebounds,steals,blocks,turnovers,personal_fouls,win_shares,field_goal_percent,3point_field_goal_percent,free_throw_percent,minutes_played_per_game,points_per_game,total_rebounds_per_game,assists_per_game,points,minutes_played,total_rebounds,assists,age,city,region,position,college,team_recent,dunkattempts,championship,sex,status,height_default,height_cm,weight_kg,weight_lb
January,9,Muggsy Bogues,1965,14,889,2845,6210,106,381,1062,1284,534,1369,39,1433,1582,54,0.458,0.278,0.827,28.6,7.7,2.6,7.6,6858,25429,2318,6726,60, Baltimore, Maryland,Point Guard,Wake Forest,Charlotte Hornets,0,no,male,Alive,5-3,160,61,136
January,9,M.L. Carr,1951,10,678,2710,5740,42,153,1297,1761,1089,939,270,1029,1709,33.5,0.472,,0.737,24.2,10,4.5,2,6759,16390,3054,1336,74, Wallace, North Carolina,Small Forward,Guilford College,Boston Celtics,,no,male,Alive,6-6,198,92,205
January,9,Fred Diute,1929,1,7,2,21,,,7,12,,,,,12,-0.3,0.095,,0.583,10.3,1.6,1.9,0.6,11,72,13,4,75, Binghamton, New York,Shooting Guard,St. Bonaventure,Milwaukee Hawks,,no,male,Dead,6-3,190,95,210
January,9,Sharrod Ford,1982,1,3,2,3,0,0,0,0,1,0,1,2,7,0,0.667,,,4.3,1.3,1,0,4,13,3,0,43, Washington, District of Columbia,Power Forward,Clemson,Phoenix Suns,,no,male,Alive,6-9,206,102,225
January,9,Caleb Houstan,2003,3,143,176,484,144,413,45,53,75,34,14,39,159,2.6,0.364,0.349,0.849,14.2,3.8,1.5,0.5,558,2080,221,75,22, Mississauga, Ontario,Small Forward,Michigan,Orlando Magic,0,no,male,Alive,6-8,203,92,205
January,9,Bobby Jones,1984,2,91,103,233,19,62,63,92,51,26,4,46,144,1.1,0.442,0.306,0.685,9.5,3.2,1.6,0.5,288,867,149,44,41, Compton, California,Small Forward,Washington,San Antonio Spurs,11,no,male,Alive,6-7,201,97,215
January,9,Terrence Jones,1992,6,234,985,1968,93,313,368,593,395,146,270,219,392,14.7,0.501,0.297,0.621,23.8,10.4,5.7,1,2431,5562,1334,238,33, Portland, Oregon,Power Forward,Kentucky,Houston Rockets,237,no,male,Alive,6-9,206,114,252
January,9,Zeke Nnaji,2001,5,220,339,666,84,236,138,211,198,57,81,92,303,5.4,0.509,0.356,0.654,11.4,4.1,2.2,0.4,976,2734,531,86,24, Hopkins, Minnesota,Power Forward,Arizona,Denver Nuggets,98,yes,male,Alive,6-9,206,108,240
January,9,Luka Samanic,2000,4,86,138,336,36,146,72,102,39,19,19,60,98,0,0.411,0.247,0.706,10.7,4.5,2.4,0.6,384,921,210,55,25, Zagreb, Croatia,Power Forward,,Utah Jazz,18,no,male,Alive,6-10,208,102,227
January,9,Samardo Samuels,1989,3,109,237,532,0,4,164,251,148,38,41,115,231,0.6,0.445,0,0.653,15.8,5.9,3.4,0.4,638,1722,366,45,36, Trelawny, Jamaica,Center,Louisville,Cleveland Cavaliers,59,no,male,Alive,6-9,206,117,260
January,9,Samardo Samuels,1989,3,109,237,532,0,4,164,251,148,38,41,115,231,0.6,0.445,0,0.653,15.8,5.9,3.4,0.4,638,1722,366,45,36, Trelawny, Jamaica,Power Forward,Louisville,Cleveland Cavaliers,59,no,male,Alive,6-9,206,117,260
January,9,Aaron Swinson,1971,1,9,10,18,0,0,4,5,3,1,0,5,8,0,0.556,,0.8,5.7,2.7,0.9,0.3,24,51,8,3,54, Brunswick, Georgia,Small Forward,Auburn,Phoenix Suns,,no,male,Alive,6-5,196,104,230
January,9,Zia Cooke,2001,2,68,101,337,29,106,59,77,13,22,15,50,58,-2,0.3,0.274,0.766,11.9,4.3,0.8,0.7,290,806,55,48,24, Toledo, Ohio,Guard,South Carolina,Los Angeles Sparks,0,no,female,Alive,5-9,175,73,163
January,9,Scholanda Dorrell,1983,7,222,512,1327,109,351,325,462,112,232,49,335,411,1.5,0.386,0.311,0.703,17.7,6.6,1.5,0.8,1458,3930,330,180,42, Miami, Florida,Guard,LSU,San Antonio Silver Stars,0,no,female,Alive,5-11,180,73,162
